# source_api_id	status	crystal_refs	notes
command.go::const::WaitTick	missing	-	baseline
command.go::func::Execute	missing	-	baseline
command.go::func::ExecuteAlt	missing	-	baseline
command.go::func::ExecuteCopy	missing	-	baseline
command.go::func::ExecuteCtrl	missing	-	baseline
command.go::func::ExecuteEnv	missing	-	baseline
command.go::func::ExecuteHide	missing	-	baseline
command.go::func::ExecuteKey	missing	-	baseline
command.go::func::ExecuteLoopOffset	missing	-	baseline
command.go::func::ExecuteNoop	missing	-	baseline
command.go::func::ExecuteOutput	missing	-	baseline
command.go::func::ExecutePaste	missing	-	baseline
command.go::func::ExecuteRequire	missing	-	baseline
command.go::func::ExecuteScreenshot	missing	-	baseline
command.go::func::ExecuteSet	missing	-	baseline
command.go::func::ExecuteSetBorderRadius	missing	-	baseline
command.go::func::ExecuteSetCursorBlink	missing	-	baseline
command.go::func::ExecuteSetFontFamily	missing	-	baseline
command.go::func::ExecuteSetFontSize	missing	-	baseline
command.go::func::ExecuteSetFramerate	missing	-	baseline
command.go::func::ExecuteSetHeight	missing	-	baseline
command.go::func::ExecuteSetLetterSpacing	missing	-	baseline
command.go::func::ExecuteSetLineHeight	missing	-	baseline
command.go::func::ExecuteSetMargin	missing	-	baseline
command.go::func::ExecuteSetMarginFill	missing	-	baseline
command.go::func::ExecuteSetPadding	missing	-	baseline
command.go::func::ExecuteSetPlaybackSpeed	missing	-	baseline
command.go::func::ExecuteSetShell	missing	-	baseline
command.go::func::ExecuteSetTheme	missing	-	baseline
command.go::func::ExecuteSetTypingSpeed	missing	-	baseline
command.go::func::ExecuteSetWaitPattern	missing	-	baseline
command.go::func::ExecuteSetWaitTimeout	missing	-	baseline
command.go::func::ExecuteSetWidth	missing	-	baseline
command.go::func::ExecuteSetWindowBar	missing	-	baseline
command.go::func::ExecuteSetWindowBarSize	missing	-	baseline
command.go::func::ExecuteShift	missing	-	baseline
command.go::func::ExecuteShow	missing	-	baseline
command.go::func::ExecuteSleep	missing	-	baseline
command.go::func::ExecuteType	missing	-	baseline
command.go::func::ExecuteWait	missing	-	baseline
command.go::type::CommandFunc	missing	-	baseline
draw.go::func::MakeBorderRadiusMask	missing	-	baseline
draw.go::func::MakeWindowBar	missing	-	baseline
draw.go::method::circle.At	missing	-	baseline
draw.go::method::circle.Bounds	missing	-	baseline
draw.go::method::circle.ColorModel	missing	-	baseline
draw.go::method::rect.At	missing	-	baseline
draw.go::method::rect.Bounds	missing	-	baseline
draw.go::method::rect.ColorModel	missing	-	baseline
draw.go::method::roundedrect.At	missing	-	baseline
draw.go::method::roundedrect.Bounds	missing	-	baseline
draw.go::method::roundedrect.ColorModel	missing	-	baseline
error.go::const::ErrorColumnOffset	missing	-	baseline
error.go::func::LineNumber	missing	-	baseline
error.go::func::Underline	missing	-	baseline
error.go::method::InvalidSyntaxError.Error	missing	-	baseline
error.go::struct::InvalidSyntaxError	missing	-	baseline
evaluator.go::func::Evaluate	missing	-	baseline
evaluator.go::type::EvaluatorOption	missing	-	baseline
ffmpeg.go::func::NewScreenshotFilterComplexBuilder	missing	-	baseline
ffmpeg.go::func::NewStreamBuilder	missing	-	baseline
ffmpeg.go::func::NewVideoFilterBuilder	missing	-	baseline
ffmpeg.go::method::FilterComplexBuilder.Build	missing	-	baseline
ffmpeg.go::method::FilterComplexBuilder.WithBorderRadius	missing	-	baseline
ffmpeg.go::method::FilterComplexBuilder.WithGIF	missing	-	baseline
ffmpeg.go::method::FilterComplexBuilder.WithMarginFill	missing	-	baseline
ffmpeg.go::method::FilterComplexBuilder.WithWindowBar	missing	-	baseline
ffmpeg.go::method::StreamBuilder.Build	missing	-	baseline
ffmpeg.go::method::StreamBuilder.WithBar	missing	-	baseline
ffmpeg.go::method::StreamBuilder.WithCorner	missing	-	baseline
ffmpeg.go::method::StreamBuilder.WithMP4	missing	-	baseline
ffmpeg.go::method::StreamBuilder.WithMargin	missing	-	baseline
ffmpeg.go::method::StreamBuilder.WithWebm	missing	-	baseline
ffmpeg.go::struct::FilterComplexBuilder	missing	-	baseline
ffmpeg.go::struct::StreamBuilder	missing	-	baseline
lexer/lexer.go::func::New	missing	-	baseline
lexer/lexer.go::method::Lexer.NextToken	missing	-	baseline
lexer/lexer.go::struct::Lexer	missing	-	baseline
parser/parser.go::func::New	missing	-	baseline
parser/parser.go::func::NewError	missing	-	baseline
parser/parser.go::method::Command.String	missing	-	baseline
parser/parser.go::method::CommandType.String	missing	-	baseline
parser/parser.go::method::Error.Error	missing	-	baseline
parser/parser.go::method::Error.String	missing	-	baseline
parser/parser.go::method::Parser.Errors	missing	-	baseline
parser/parser.go::method::Parser.Parse	missing	-	baseline
parser/parser.go::struct::Command	missing	-	baseline
parser/parser.go::struct::Error	missing	-	baseline
parser/parser.go::struct::Parser	missing	-	baseline
parser/parser.go::type::CommandType	missing	-	baseline
publish.go::func::Publish	missing	-	baseline
record.go::func::Record	missing	-	baseline
screenshot.go::func::MakeScreenshots	missing	-	baseline
screenshot.go::func::NewScreenshotOptions	missing	-	baseline
screenshot.go::struct::ScreenshotOptions	missing	-	baseline
shell.go::struct::Shell	missing	-	baseline
style.go::const::Background	missing	-	baseline
